当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1838314cn.htm	,2020.01.31	,澳青联	,悉尼FC青年队	,墨尔本胜利青年队	,一球/球半	,一球	,0.96/0.88	,4	,4	,0.88/0.94	,4.5/5	,0.88/0.94	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1838750cn.htm	,2020.01.31	,澳洲季前杯	,佛斯特费德联	,金斯利俱乐部	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,5	,7	,1	,1	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1838743cn.htm	,2020.01.31	,球会友谊	,格雷成伯格	,SV威尔登	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1827704cn.htm	,2020.02.01	,爱沙冬锦	,赫利俄斯	,哈普萨卢	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1838289cn.htm	,2020.02.01	,墨西U20	,阿特拿斯U20	,堤华纳U20	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1838767cn.htm	,2020.02.01	,芬U20	,亚特兰蒂斯U20	,云塔U20	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1724433cn.htm	,2020.02.01	,法乙	,尼奥特	,巴黎足球会	,平手/半球	,平手/半球	,1.13/0.76	,2	,1.5/2	,0.81/1.05	,6/6.5	,1.07/0.79	,5	,8	,1	,2	,2	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1836680cn.htm	,2020.02.01	,球会友谊	,阿萨纳	,索特拉	,球半/两球	,两球	,0.96/0.86	,4/4.5	,4/4.5	,1.00/0.80	,6/6.5	,0.92/0.88	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1770555cn.htm	,2020.02.01	,意乙	,克雷莫纳	,比萨	,半球	,半球	,0.93/0.96	,2	,2/2.5	,0.96/0.91	,4/4.5	,0.93/0.93	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200131.htm	,http://live.win007.com/detail/1836683cn.htm	,2020.02.01	,千里甲	,霍奎塔兰	,库努皮亚FC	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,2	,8	,4	,2	,1	
