当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200727.htm	,http://op1.win007.com/oddslist/1876420.htm	,2020.07.28	,瑞典超	,奥斯特桑斯	,赫尔辛堡	,2.23	,3.05	,2.80	,2.70	,2.88	,2.40	,平手	,0.85	,0.97	,平手	,0.96	,0.92	,1	,1	
http://bf.win007.com/football/Over_20200726.htm	,http://op1.win007.com/oddslist/1722045.htm	,2020.07.26	,英超	,伯恩利	,布莱顿	,2.32	,3.10	,2.65	,2.42	,3.05	,2.55	,平手/半球	,1.07	,0.81	,平手	,0.86	,1.03	,0	,0	
http://bf.win007.com/football/Over_20200726.htm	,http://op1.win007.com/oddslist/1876832.htm	,2020.07.26	,挪超	,维京	,萨普斯堡	,2.32	,3.30	,2.50	,2.35	,3.25	,2.50	,平手/半球	,1.08	,0.80	,平手	,0.81	,1.09	,3	,3	
http://bf.win007.com/football/Over_20200725.htm	,http://op1.win007.com/oddslist/1784083.htm	,2020.07.25	,澳洲甲	,惠灵顿凤凰	,阿德莱德联	,1.98	,3.55	,2.90	,2.52	,3.40	,2.26	,平手/半球	,0.93	,0.95	,受让平手/半球	,0.82	,1.08	,1	,0	
http://bf.win007.com/football/Over_20200725.htm	,http://op1.win007.com/oddslist/1872967.htm	,2020.07.25	,日职乙	,东京绿茵	,山形山神	,2.40	,3.10	,2.53	,2.50	,3.00	,2.50	,平手/半球	,1.05	,0.77	,平手	,1.03	,0.87	,1	,1	
http://bf.win007.com/football/Over_20200725.htm	,http://op1.win007.com/oddslist/1784094.htm	,2020.07.25	,澳洲甲	,墨尔本胜利	,西部联	,2.20	,3.50	,2.55	,2.50	,3.50	,2.23	,平手/半球	,1.05	,0.83	,平手	,1.13	,0.78	,0	,0	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1872365.htm	,2020.07.22	,日职联	,浦和红钻	,柏太阳神	,2.25	,3.40	,2.55	,2.32	,3.40	,2.45	,平手	,0.90	,0.98	,平手	,1.08	,0.82	,0	,0	
http://bf.win007.com/football/Over_20200719.htm	,http://op1.win007.com/oddslist/1872955.htm	,2020.07.19	,日职乙	,甲府风林	,大宫松鼠	,2.32	,3.10	,2.63	,2.53	,3.05	,2.43	,平手	,0.92	,0.90	,平手	,1.08	,0.82	,3	,3	
http://bf.win007.com/football/Over_20200718.htm	,http://op1.win007.com/oddslist/1872957.htm	,2020.07.18	,日职乙	,山口雷法	,FC琉球	,2.02	,3.60	,2.78	,2.45	,3.60	,2.23	,半球	,0.99	,0.83	,受让平手/半球	,0.82	,1.08	,3	,0	
http://bf.win007.com/football/Over_20200718.htm	,http://op1.win007.com/oddslist/1728071.htm	,2020.07.18	,英冠	,赫尔城	,卢顿	,2.25	,3.40	,2.55	,2.35	,3.40	,2.42	,平手/半球	,1.02	,0.80	,平手	,0.90	,0.99	,0	,0	
